  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
   544    2321       2       1      12       1       0
   545    2323       2       1      13       0       0
   546    2325       2       1      13       1       0
   547    2327       2       1      12       2       0
   548    2329       2       1      12       1       0
   549    2331       2       1      13       0       0
   550    2333       2       1      12       2       0
   551    2335       2       1      12       1       0
   552    2337       2       1      12       1       0
   553    2339       2       1      12       1       0
   554    2341       2       1      13       0       0
   555    2343       2       1      13       1       0
   556    2345       2       1      12       2       0
   557    2347       2       1      13       0       0
   558    2349       2       1      13       1       0
   559    2351       2       1      12       2       0
   560    2353       2       1      12       1       0
   561    2355       2       1      13       0       0
   562    2357       2       1      12       2       0
   563    2359       2       1      12       1       0
   564    2361       2       1      12       1       0
   565    2363       2       1      12       1       0
   566    2365       2       1      12       1       0
   567    2367       2       1      12       1       0
   568    2369       2       1      12       1       0
   569    2371       2       1      12       1       0
   570    2373       2       1      12       1       0
   571    2375       2       1      12       1       0
   572    2377       2       1      12       1       0
   573    2379       2       1      12       1       0
   574    2381       2       1      13       0       0
   575    2383       2       1      13       1       0
   576    2385       2       1      13       1       0
   577    2387       2       1      13       1       0
   578    2389       2       1      13       1       0
   579    2391       2       1      13       1       0
   580    2393       2       1      13       1       0
   581    2395       2       1      13       1       0
   582    2397       2       1      13       1       0
   583    2399       2       1      13       1       0
   584    2401       2       1      13       1       0
   585    2403       2       1      13       1       0
   586    2405       2       1      13       1       0
   587    2407       2       1      14       0       0
   588    2409       2       1      13       2       0
   589    2411       2       1      13       1       0
   590    2413       2       1      14       0       0
   591    2415       2       1      14       1       0
   592    2417       2       1      13       2       0
   593    2419       2       1      14       0       0
   594    2421       2       1      14       1       0
   595    2423       2       1      14       1       0
   596    2425       2       1      14       1       0
   597    2427       2       1      15       0       0
   598    2429       2       1      15       1       0
   599    2431       2       1      15       1       0
   600    2433       2       1      14       2       0
   601    2435       2       1      15       0       0
   602    2437       2       1      14       2       0
   603    2439       2       1      14       1       0
   604    2441       2       1      14       1       0
   605    2443       2       1      15       0       0
   606    2445       2       1      14       2       0
   607    2447       2       1      13       2       0
   608    2449       2       1      12       2       0
   609    2451       2       1      11       2       0
   610    2453       2       1      12       0       0
   611    2455       2       1      11       2       0
   612    2457       2       1      11       1       0
   613    2459       2       1      11       1       0
   614    2461       2       1      11       1       0
   615    2463       2       1      12       0       0
   616    2465       2       1      11       2       0
   617    2467       2       1      11       1       0
   618    2469       2       1      12       0       0
   619    2471       2       1      12       1       0
   620    2473       2       1      12       1       0
   621    2475       2       1      12       1       0
   622    2477       2       1      12       1       0
   623    2479       2       1      12       1       0
   624    2481       2       1      11       2       0
   625    2483       2       1      11       1       0
   626    2485       2       1       9       3       0
   627    2487       2       1      10       0       0
   628    2489       2       1      10       1       0
   629    2491       2       1      10       1       0
   630    2493       2       1      10       1       0
   631    2495       2       1      10       1       0
   632    2497       2       1      10       1       0
   633    2499       2       1      10       1       0
   634    2501       2       1      10       1       0
   635    2503       2       1      10       1       0
   636    2505       2       1      10       1       0
   637    2507       2       1      10       1       0
   638    2509       2       1      10       1       0
   639    2511       2       1       9       2       0
   640    2513       2       1       8       2       0
   641    2515       2       1       8       1       0
   642    2517       2       1       8       1       0
   643    2519       2       1       9       0       0
   644    2521       2       1       9       1       0
   645    2523       2       1       9       1       0
   646    2525       2       1      10       0       0
   647    2527       2       1      10       1       0
   648    2529       2       1      10       1       0
   649    2531       2       1      10       1       0
   650    2533       2       1      10       1       0
   651    2535       2       1      10       1       0
   652    2537       2       1      11       0       0
   653    2539       2       1      12       0       0
   654    2541       2       1      11       2       0
   655    2543       2       1      11       1       0
   656    2545       2       1      11       1       0
   657    2547       2       1      12       0       0
   658    2549       2       1      11       2       0
   659    2551       2       1      11       1       0
   660    2553       2       1      11       1       0
   661    2555       2       1      11       1       0
   662    2557       2       1      11       1       0
   663    2559       2       1      11       1       0
   664    2561       2       1      10       2       0
   665    2563       2       1      10       1       0
   666    2565       2       1      10       1       0
   667    2567       2       1      10       1       0
   668    2569       2       1      10       1       0
   669    2571       2       1      11       0       0
   670    2573       2       1      10       2       0
   671    2575       2       1      10       1       0
   672    2577       2       1      11       0       0
   673    2579       2       1      11       1       0
   674    2581       2       1      10       2       0
   675    2583       2       1      11       0       0
   676    2585       2       1      11       1       0
   677    2587       2       1      10       2       0
   678    2589       2       1      10       1       0
   679    2591       2       1      11       0       0
   680    2593       2       1      11       1       0
   681    2595       2       1      11       1       0
   682    2597       2       1      12       0       0
   683    2599       2       1      12       1       0
   684    2601       2       1      12       1       0
   685    2603       2       1      11       2       0
   686    2605       2       1      11       1       0
   687    2607       2       1      11       1       0
   688    2609       2       1      12       0       0
   689    2611       2       1      12       1       0
   690    2613       2       1      13       0       0
   691    2615       2       1      12       2       0
   692    2617       2       1      12       1       0
   693    2619       2       1      12       1       0
   694    2621       2       1      12       1       0
   695    2623       2       1      12       1       0
   696    2625       2       1      11       2       0
   697    2627       2       1      11       1       0
   698    2629       2       1      11       1       0
   699    2631       2       1      10       2       0
   700    2633       2       1      11       0       0
   701    2635       2       1      10       2       0
   702    2637       2       1      10       1       0
   703    2639       2       1      11       0       0
   704    2641       2       1      11       1       0
   705    2643       2       1      10       2       0
   706    2645       2       1      10       1       0
   707    2648       3       1      11       1       0
   708    2650       2       1      12       0       0
   709    2652       2       1      12       1       0
   710    2655       3       1      12       2       0
   711    2657       2       1      13       0       0
   712    2659       2       1      14       0       0
   713    2661       2       1      15       0       0
   714    2663       2       1      15       1       0
   715    2666       3       1      15       2       0
   716    2669       3       1      15       2       0
   717    2671       2       1      16       0       0
   718    2674       3       1      16       2       0
   719    2677       3       1      17       1       0
   720    2679       2       1      18       0       0
   721    2681       2       1      18       1       0
   722    2683       2       1      18       0       1
   723    2685       2       1      18       1       0
   724    2687       2       1      17       1       1
   725    2689       2       1      17       0       1
   726    2691       2       1      17       0       1
   727    2693       2       1      16       1       1
   728    2695       2       1      15       1       1
   729    2697       2       1      15       1       0
   730    2699       2       1      15       1       0
   731    2701       2       1      15       1       0
   732    2703       2       1      15       1       0
   733    2705       2       1      15       1       0
   734    2707       2       1      15       1       0
   735    2709       2       1      15       0       1
   736    2711       2       1      15       1       0
   737    2713       2       1      15       1       0
   738    2715       2       1      14       2       0
   739    2717       2       1      14       1       0
   740    2719       2       1      13       2       0
   741    2721       2       1      13       1       0
   742    2723       2       1      13       1       0
   743    2725       2       1      12       2       0
   744    2727       2       1      11       2       0
   745    2729       2       1      12       0       0
   746    2731       2       1      12       1       0
   747    2733       2       1      13       0       0
   748    2735       2       1      14       0       0
   749    2737       2       1      14       1       0
   750    2739       2       1      15       0       0
   751    2741       2       1      15       1       0
   752    2743       2       1      15       1       0
   753    2745       2       1      14       2       0
   754    2747       2       1      14       1       0
   755    2749       2       1      14       1       0
   756    2751       2       1      14       1       0
   757    2753       2       1      13       2       0
   758    2755       2       1      13       1       0
   759    2757       2       1      13       1       0
   760    2759       2       1      13       1       0
   761    2761       2       1      13       1       0
   762    2763       2       1      13       1       0
   763    2765       2       1      13       1       0
   764    2767       2       1      13       1       0
   765    2769       2       1      13       1       0
   766    2771       2       1      13       1       0
   767    2773       2       1      13       1       0
   768    2775       2       1      13       1       0
   769    2777       2       1      13       1       0
   770    2779       2       1      13       1       0
   771    2781       2       1      13       1       0
   772    2783       2       1      13       1       0
   773    2785       2       1      13       1       0
   774    2787       2       1      13       1       0
   775    2789       2       1      13       1       0
   776    2791       2       1      13       1       0
   777    2793       2       1      13       1       0
   778    2795       2       1      13       1       0
   779    2797       2       1      13       1       0
   780    2799       2       1      13       1       0
   781    2801       2       1      13       1       0
   782    2803       2       1      13       1       0
   783    2805       2       1      13       1       0
   784    2807       2       1      13       1       0
   785    2809       2       1      13       1       0
   786    2811       2       1      13       1       0
   787    2813       2       1      13       1       0
   788    2815       2       1      13       1       0
   789    2817       2       1      13       1       0
   790    2819       2       1      13       1       0
   791    2821       2       1      13       1       0
   792    2823       2       1      13       1       0
   793    2825       2       1      13       1       0
   794    2827       2       1      13       1       0
   795    2829       2       1      13       1       0
   796    2831       2       1      13       1       0
   797    2833       2       1      13       1       0
   798    2835       2       1      13       1       0
   799    2837       2       1      13       1       0
   800    2839       2       1      13       1       0
   801    2841       2       1      13       1       0
   802    2843       2       1      13       1       0
   803    2845       2       1      13       1       0
   804    2847       2       1      13       1       0
   805    2849       2       1      13       1       0
   806    2851       2       1      13       1       0
   807    2853       2       1      13       1       0
   808    2855       2       1      13       1       0
   809    2857       2       1      13       1       0
   810    2859       2       1      13       1       0
   811    2861       2       1      13       1       0
   812    2863       2       1      13       1       0
   813    2865       2       1      13       1       0
   814    2867       2       1      13       1       0
   815    2869       2       1      13       1       0
   816    2871       2       1      13       1       0
   817    2873       2       1      13       1       0
   818    2875       2       1      13       1       0
   819    2877       2       1      13       1       0
   820    2879       2       1      13       1       0
   821    2881       2       1      13       1       0
   822    2883       2       1      13       1       0
   823    2885       2       1      13       1       0
   824    2887       2       1      13       1       0
   825    2889       2       1      13       1       0
   826    2891       2       1      13       1       0
   827    2893       2       1      13       1       0
   828    2895       2       1      13       1       0
   829    2897       2       1      13       1       0
   830    2899       2       1      13       1       0
   831    2901       2       1      13       1       0
   832    2903       2       1      13       1       0
   833    2905       2       1      13       1       0
   834    2907       2       1      13       1       0
   835    2909       2       1      13       1       0
   836    2911       2       1      13       1       0
   837    2913       2       1      13       1       0
   838    2915       2       1      13       1       0
   839    2917       2       1      13       1       0
   840    2919       2       1      13       1       0
   841    2921       2       1      13       1       0
   842    2923       2       1      13       1       0
   843    2925       2       1      13       1       0
   844    2927       2       1      13       1       0
   845    2929       2       1      13       1       0
   846    2931       2       1      13       1       0
   847    2933       2       1      13       1       0
   848    2935       2       1      13       1       0
   849    2937       2       1      13       1       0
   850    2939       2       1      13       1       0
   851    2941       2       1      13       1       0
   852    2943       2       1      13       1       0
   853    2945       2       1      13       1       0
   854    2947       2       1      13       1       0
   855    2949       2       1      13       1       0
   856    2951       2       1      13       1       0
   857    2953       2       1      13       1       0
   858    2955       2       1      13       1       0
   859    2957       2       1      13       1       0
   860    2959       2       1      13       1       0
   861    2961       2       1      13       1       0
   862    2963       2       1      13       1       0
   863    2965       2       1      13       1       0
